,time,BlkCnt,PriceBTC,PriceUSD,HashRate,DiffLast,BlkHeight,Reward,BTCGenFrmBlk,totalBTC,btcSupplyOnDate,s2f_ratio_10,s2f_ratio_usd_10,s2f_ratio_463,s2f_ratio_usd_463
1970-01-01 00:00:00.000000000,2009-01-03,0.0,1.0,,,,0.0,50.0,0.0,0.0,,,,,
1970-01-01 00:00:00.000000001,2009-01-04,0.0,1.0,,,,0.0,50.0,0.0,0.0,,,,,
1970-01-01 00:00:00.000000002,2009-01-05,0.0,1.0,,,,0.0,50.0,0.0,0.0,,,,,
1970-01-01 00:00:00.000000003,2009-01-06,0.0,1.0,,,,0.0,50.0,0.0,0.0,,,,,
1970-01-01 00:00:00.000000004,2009-01-07,0.0,1.0,,,,0.0,50.0,0.0,0.0,,,,,
1970-01-01 00:00:00.000000005,2009-01-08,0.0,1.0,,,,0.0,50.0,0.0,0.0,,,,,
1970-01-01 00:00:00.000000006,2009-01-09,19.0,1.0,,9.444951229e-07,1.0,19.0,50.0,950.0,950.0,,,,,
1970-01-01 00:00:00.000000007,2009-01-10,61.0,1.0,,3.0323264474e-06,1.0,80.0,50.0,3050.0,4000.0,,,,,
1970-01-01 00:00:00.000000008,2009-01-11,93.0,1.0,,4.6230550755e-06,1.0,173.0,50.0,4650.0,8650.0,,,,,
1970-01-01 00:00:00.000000009,2009-01-12,94.0,1.0,,4.6727653451e-06,1.0,267.0,50.0,4700.0,13350.0,,,,,
1970-01-01 00:00:00.000000010,2009-01-13,123.0,1.0,,6.1143631644e-06,1.0,390.0,50.0,6150.0,19500.0,,,,,
1970-01-01 00:00:00.000000011,2009-01-14,129.0,1.0,,6.4126247822e-06,1.0,519.0,50.0,6450.0,25950.0,,,,,
1970-01-01 00:00:00.000000012,2009-01-15,126.0,1.0,,6.2634939733e-06,1.0,645.0,50.0,6300.0,32250.0,,,,,
1970-01-01 00:00:00.000000013,2009-01-16,108.0,1.0,,5.36870912e-06,1.0,753.0,50.0,5400.0,37650.0,,,,,
1970-01-01 00:00:00.000000014,2009-01-17,109.0,1.0,,5.4184193896e-06,1.0,862.0,50.0,5450.0,43100.0,,,,,
1970-01-01 00:00:00.000000015,2009-01-18,107.0,1.0,,5.3189988503e-06,1.0,969.0,50.0,5350.0,48450.0,,,,,
1970-01-01 00:00:00.000000016,2009-01-19,115.0,1.0,,5.7166810074e-06,1.0,1084.0,50.0,5750.0,54200.0,,,,,
1970-01-01 00:00:00.000000017,2009-01-20,114.0,1.0,,5.6669707377e-06,1.0,1198.0,50.0,5700.0,59900.0,,,,,
1970-01-01 00:00:00.000000018,2009-01-21,102.0,1.0,,5.0704475022e-06,1.0,1300.0,50.0,5100.0,65000.0,,,,,
1970-01-01 00:00:00.000000019,2009-01-22,91.0,1.0,,4.5236345362e-06,1.0,1391.0,50.0,4550.0,69550.0,,,,,
1970-01-01 00:00:00.000000020,2009-01-23,84.0,1.0,,4.1756626488e-06,1.0,1475.0,50.0,4200.0,73750.0,,,,,
1970-01-01 00:00:00.000000021,2009-01-24,201.0,1.0,,9.9917641955e-06,1.0,1676.0,50.0,10050.0,83800.0,,,,,
1970-01-01 00:00:00.000000022,2009-01-25,191.0,1.0,,9.4946614992e-06,1.0,1867.0,50.0,9550.0,93350.0,,,,,
1970-01-01 00:00:00.000000023,2009-01-26,96.0,1.0,,4.7721858844e-06,1.0,1963.0,50.0,4800.0,98150.0,,,,,
1970-01-01 00:00:00.000000024,2009-01-27,97.0,1.0,,4.821896154e-06,1.0,2060.0,50.0,4850.0,103000.0,,,,,
1970-01-01 00:00:00.000000025,2009-01-28,112.0,1.0,,5.5675501985e-06,1.0,2172.0,50.0,5600.0,108600.0,,,,,
1970-01-01 00:00:00.000000026,2009-01-29,121.0,1.0,,6.0149426251e-06,1.0,2293.0,50.0,6050.0,114650.0,,,,,
1970-01-01 00:00:00.000000027,2009-01-30,117.0,1.0,,5.8161015466e-06,1.0,2410.0,50.0,5850.0,120500.0,,,,,
1970-01-01 00:00:00.000000028,2009-01-31,138.0,1.0,,6.8600172088e-06,1.0,2548.0,50.0,6900.0,127400.0,,,,,
1970-01-01 00:00:00.000000029,2009-02-01,113.0,1.0,,5.6172604681e-06,1.0,2661.0,50.0,5650.0,133050.0,,,,,
1970-01-01 00:00:00.000000030,2009-02-02,128.0,1.0,,6.3629145125e-06,1.0,2789.0,50.0,6400.0,139450.0,,,,,
1970-01-01 00:00:00.000000031,2009-02-03,139.0,1.0,,6.9097274785e-06,1.0,2928.0,50.0,6950.0,146400.0,,,,,
1970-01-01 00:00:00.000000032,2009-02-04,119.0,1.0,,5.9155220859e-06,1.0,3047.0,50.0,5950.0,152350.0,,,,,
1970-01-01 00:00:00.000000033,2009-02-05,126.0,1.0,,6.2634939733e-06,1.0,3173.0,50.0,6300.0,158650.0,,,,,
1970-01-01 00:00:00.000000034,2009-02-06,122.0,1.0,,6.0646528948e-06,1.0,3295.0,50.0,6100.0,164750.0,,,,,
1970-01-01 00:00:00.000000035,2009-02-07,129.0,1.0,,6.4126247822e-06,1.0,3424.0,50.0,6450.0,171200.0,,,,,
1970-01-01 00:00:00.000000036,2009-02-08,132.0,1.0,,6.5617555911e-06,1.0,3556.0,50.0,6600.0,177800.0,,,,,
1970-01-01 00:00:00.000000037,2009-02-09,134.0,1.0,,6.6611761303e-06,1.0,3690.0,50.0,6700.0,184500.0,,,,,
1970-01-01 00:00:00.000000038,2009-02-10,120.0,1.0,,5.9652323555e-06,1.0,3810.0,50.0,6000.0,190500.0,,,,,
1970-01-01 00:00:00.000000039,2009-02-11,133.0,1.0,,6.6114658607e-06,1.0,3943.0,50.0,6650.0,197150.0,,,,,
1970-01-01 00:00:00.000000040,2009-02-12,119.0,1.0,,5.9155220859e-06,1.0,4062.0,50.0,5950.0,203100.0,,,,,
1970-01-01 00:00:00.000000041,2009-02-13,124.0,1.0,,6.164073434e-06,1.0,4186.0,50.0,6200.0,209300.0,,,,,
1970-01-01 00:00:00.000000042,2009-02-14,136.0,1.0,,6.7605966696e-06,1.0,4322.0,50.0,6800.0,216100.0,,,,,
1970-01-01 00:00:00.000000043,2009-02-15,128.0,1.0,,6.3629145125e-06,1.0,4450.0,50.0,6400.0,222500.0,,,,,
1970-01-01 00:00:00.000000044,2009-02-16,122.0,1.0,,6.0646528948e-06,1.0,4572.0,50.0,6100.0,228600.0,,,,,
1970-01-01 00:00:00.000000045,2009-02-17,117.0,1.0,,5.8161015466e-06,1.0,4689.0,50.0,5850.0,234450.0,,,,,
1970-01-01 00:00:00.000000046,2009-02-18,118.0,1.0,,5.8658118162e-06,1.0,4807.0,50.0,5900.0,240350.0,,,,,
1970-01-01 00:00:00.000000047,2009-02-19,124.0,1.0,,6.164073434e-06,1.0,4931.0,50.0,6200.0,246550.0,,,,,
1970-01-01 00:00:00.000000048,2009-02-20,122.0,1.0,,6.0646528948e-06,1.0,5053.0,50.0,6100.0,252650.0,,,,,
1970-01-01 00:00:00.000000049,2009-02-21,114.0,1.0,,5.6669707377e-06,1.0,5167.0,50.0,5700.0,258350.0,,,,,
1970-01-01 00:00:00.000000050,2009-02-22,121.0,1.0,,6.0149426251e-06,1.0,5288.0,50.0,6050.0,264400.0,,,,,
1970-01-01 00:00:00.000000051,2009-02-23,108.0,1.0,,5.36870912e-06,1.0,5396.0,50.0,5400.0,269800.0,,,,,
1970-01-01 00:00:00.000000052,2009-02-24,106.0,1.0,,5.2692885807e-06,1.0,5502.0,50.0,5300.0,275100.0,,,,,
1970-01-01 00:00:00.000000053,2009-02-25,105.0,1.0,,5.2195783111e-06,1.0,5607.0,50.0,5250.0,280350.0,,,,,
1970-01-01 00:00:00.000000054,2009-02-26,107.0,1.0,,5.3189988503e-06,1.0,5714.0,50.0,5350.0,285700.0,,,,,
1970-01-01 00:00:00.000000055,2009-02-27,115.0,1.0,,5.7166810074e-06,1.0,5829.0,50.0,5750.0,291450.0,,,,,
1970-01-01 00:00:00.000000056,2009-02-28,99.0,1.0,,4.9213166933e-06,1.0,5928.0,50.0,4950.0,296400.0,,,,,
1970-01-01 00:00:00.000000057,2009-03-01,105.0,1.0,,5.2195783111e-06,1.0,6033.0,50.0,5250.0,301650.0,,,,,
1970-01-01 00:00:00.000000058,2009-03-02,108.0,1.0,,5.36870912e-06,1.0,6141.0,50.0,5400.0,307050.0,,,,,
1970-01-01 00:00:00.000000059,2009-03-03,105.0,1.0,,5.2195783111e-06,1.0,6246.0,50.0,5250.0,312300.0,,,,,
1970-01-01 00:00:00.000000060,2009-03-04,104.0,1.0,,5.1698680414e-06,1.0,6350.0,50.0,5200.0,317500.0,,,,,
